figure_number,chapter,figure_type,description,filename,production_status,notes
Figure 1.1,Chapter 1,diagram,Analytics continuum,visuals/ch01/fig-01-01-analytics-continuum.svg,planned,Replace current placeholder block
Table 1.1,Chapter 1,table,Examples of analytics applications by accounting role,,planned,Author as Markdown table or external asset if needed
Figure 1.2,Chapter 1,flowchart,Accounting analytics workflow,visuals/ch01/fig-01-02-analytics-workflow.svg,planned,Replace current placeholder block
Figure 1.3,Chapter 1,diagram,Tools mapped to the workflow,visuals/ch01/fig-01-03-tools-workflow-map.svg,planned,Replace current placeholder block
Table 1.2,Chapter 1,table,Comparison of the three textbook datasets,,planned,Author as Markdown table or external asset if needed
Figure 1.4,Chapter 1,ER diagram,Northwind focused ER preview,visuals/ch01/fig-01-04-northwind-er-preview.svg,planned,Replace current placeholder block
Figure 1.5,Chapter 1,ER diagram,AdventureWorks focused ER preview,visuals/ch01/fig-01-05-adventureworks-er-preview.svg,planned,Replace current placeholder block
Figure 1.6,Chapter 1,ER diagram,ERPNext focused ER preview,visuals/ch01/fig-01-06-erpnext-er-preview.svg,planned,Replace current placeholder block
Figure 1.7,Chapter 1,screenshot,Northwind Orders worksheet annotated screenshot,visuals/ch01/fig-01-07-northwind-orders-screenshot.png,planned,Capture at 1920x1080 and annotate per spec
Figure 1.8,Chapter 1,diagram,Book organization roadmap,visuals/ch01/fig-01-08-book-organization-map.svg,planned,Replace current placeholder block
